C,Mn,Si,Cr,Ni,Mo,V,Co,Al,W,Cu,Nb,Ti,B,N,P,S,Ms (K)
0.25,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685
0.3,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666
0.38,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631
0.4,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629
0.44,0.81,0.28,0.14,0.15,0.04,0,0,0,0,0.12,0,0,0,0,0,0,591
0.51,0.3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618
0.52,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516
0.56,0.3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593
0.6,0.72,0.2,0.17,0.2,0.03,0,0,0,0,0.12,0,0,0,0,0,0,543
0.61,0.3,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578
0.68,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533
0.75,0.7,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510
0.86,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488
0.96,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469
0.28,1.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643
0.36,1.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622
0.15,1.4,0.25,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,681
0.19,1.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672
0.28,1.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633
0.36,1.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607
0.3,1.8,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622
0.38,1.8,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598
0.46,1.8,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563
0.42,1.15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593
0.44,1.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573
0.27,1.55,0.2,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,648
0.3,1.55,0.2,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,628
0.32,1.5,0.18,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,623
0.35,1.55,0.2,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,608
0.37,1.5,0.18,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,603
0.38,1.5,0.25,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,603
0.22,1.1,0.21,0.6,0.18,0.08,0,0,0,0.3,0,0,0,0,0,0,0,695
0.16,1.15,0.25,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,663
0.2,1.25,0.25,1.15,0.15,0.02,0,0,0,0,0,0,0,0,0,0,0,653
0.19,1.6,0.2,0,0.55,0.25,0,0,0,0,0,0,0,0,0,0,0,693
0.27,1.35,0.24,0.45,0.75,0.2,0,0,0,0,0,0,0,0,0,0,0,628
0.33,1.35,0.24,0.45,0.75,0.2,0,0,0,0,0,0,0,0,0,0,0,606
0.37,1.35,0.24,0.45,0.75,0.2,0,0,0,0,0,0,0,0,0,0,0,593
0.38,1.4,0.25,0.5,0.75,0.2,0,0,0,0,0,0,0,0,0,0,0,573
0.43,1.35,0.24,0.45,0.75,0.2,0,0,0,0,0,0,0,0,0,0,0,568
0.4,0.85,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613
0.54,0.85,1.9,0.1,0.16,0.02,0,0,0,0,0,0,0,0,0,0,0,561
0.59,0.85,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535
0.62,0.85,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525
0.55,0.75,1.5,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,551
0.6,0.85,1.9,0.3,0,0.25,0,0,0,0,0,0,0,0,0,0,0,524
0.17,0.6,0.25,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,726
0.24,0.9,0.3,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,681
0.32,0.8,0.3,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,647
0.4,0.8,0.3,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,602
0.48,0.8,0.25,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,593
0.22,0.6,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,681
0.38,0.8,0.3,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,606
0.55,0.65,0.2,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,548
0.36,0.8,0.2,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,633
0.43,0.8,0.2,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,611
0.16,0.6,0.25,0.2,1.5,0.05,0,0,0,0,0,0,0,0,0,0,0,645
0.3,0.51,0.32,0.07,3.03,0,0,0,0.032,0,0,0,0.009,0,0,0,0,611
0.1,0.53,0.26,0.05,3.65,0,0,0,0.045,0,0.07,0,0,0,0,0,0,733
0.33,0.74,0.23,0.07,3.47,0.11,0,0,0,0,0,0,0,0,0,0,0,593
0.4,0.62,0.26,0.23,3.45,0.1,0,0,0,0,0,0,0,0,0,0,0,554
0.1,0.4,0.2,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,682
0.09,0.45,0.25,0.1,9,0.04,0,0,0.03,0,0,0,0,0,0,0,0,612
0.16,1.4,0.25,0.2,1.5,0.05,0,0,0,0,0,0,0,0,0,0,0,627
0.17,0.55,0.2,0.2,1.8,0.25,0,0,0,0,0,0,0,0,0,0,0,705
0.24,0.55,0.2,0.2,1.8,0.25,0,0,0,0,0,0,0,0,0,0,0,652
0.4,0.48,0.15,0.15,1.75,0.25,0,0,0,0,0,0,0,0,0,0,0,591
0.18,0.47,0.27,0.18,3.33,0.23,0,0,0,0,0,0,0,0,0,0,0,664
0.1,0.4,0.2,0,5,0.2,0,0,0,0,0,0,0,0,0,0,0,671
0.15,0.8,0.2,0.63,0.85,0.05,0,0,0,0,0,0,0,0,0,0,0,701
0.16,0.8,0.2,0.85,1.15,0.05,0,0,0,0,0,0,0,0,0,0,0,690
0.35,0.75,0.23,0.65,1.3,0,0,0,0,0,0,0,0,0,0,0,0,605
0.4,0.75,0.23,0.65,1.3,0,0,0,0,0,0,0,0,0,0,0,0,585
0.14,0.5,0.25,1.55,1.55,0,0,0,0,0,0,0,0,0,0,0,0,694
0.15,0.75,0.25,0.95,1.45,0,0,0,0,0,0,0,0,0,0,0,0,703
0.16,0.5,0.31,1.95,2.02,0.03,0,0,0.03,0,0,0,0,0,0,0,0,725
0.32,0.57,0.2,1.15,3,0,0,0,0,0,0,0,0,0,0,0,0,581
0.12,0.5,0.2,0.9,3.25,0,0,0,0,0,0,0,0,0,0,0,0,672
0.15,0.4,0.15,1.15,4.1,0,0,0,0,0,0,0,0,0,0,0,0,664
0.3,0.5,0.2,1.25,4.1,0,0,0,0,0,0,0,0,0,0,0,0,574
0.15,0.8,0.2,0.5,0.55,0.2,0,0,0,0,0,0,0,0,0,0,0,707
0.24,0.8,0.2,0.5,0.55,0.2,0,0,0,0,0,0,0,0,0,0,0,671
0.3,0.8,0.25,0.5,0.55,0.2,0,0,0,0,0,0,0,0,0,0,0,624
0.41,0.85,0.25,0.5,0.55,0.25,0,0,0,0,0,0,0,0,0,0,0,594
0.48,0.75,0.34,0.58,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,591
0.6,0.85,0.25,0.5,0.55,0.2,0,0,0,0,0,0,0,0,0,0,0,514
0.4,0.65,0.25,0.75,0.85,0.25,0,0,0,0,0,0,0,0,0,0,0,592
0.36,0.65,0.25,1.05,1.05,0.22,0,0,0,0,0,0,0,0,0,0,0,614
0.16,0.8,0.2,1.05,1.4,0.15,0,0,0,0,0,0,0,0,0,0,0,689
0.16,0.5,0.25,1.65,1.55,0.2,0,0,0,0,0,0,0,0,0,0,0,674
0.36,0.7,0.25,1.5,1.5,0.25,0,0,0,0,0,0,0,0,0,0,0,594
0.4,0.6,0.25,1.2,1.5,0.15,0,0,0,0,0,0,0,0,0,0,0,590
0.4,0.6,0.25,1.2,1.5,0.3,0,0,0,0,0,0,0,0,0,0,0,574
0.16,0.8,0.2,1.05,1.8,0.15,0,0,0,0,0,0,0,0,0,0,0,673
0.41,0.7,0.25,0.8,1.8,0.25,0,0,0,0,0,0,0,0,0,0,0,574
0.17,0.6,0.2,1.55,2,0.2,0,0,0,0,0,0,0,0,0,0,0,675
0.3,0.48,0.25,2,2,0.4,0,0,0,0,0,0,0,0,0,0,0,615
