图号,钢号,C,Si,Mn,P,S,Al,Cr,Cu,N,Ni,W,V,Ti,B,Co,Mo,O,Sn,Nb,Ms/°C,Ms (K)
1,8,0.06,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,753.15
3,15,0.13,0.26,0.56,0,0,0,0.07,0.2,0,0,0,0,0,0,0,0,0,0,0,450,723.15
4,15,0.14,0.23,0.48,0.014,0.032,0.014,0.07,0.19,0,0.07,0,0,0,0,0,0,0,0,0,480,753.15
5,15,0.15,0.22,0.41,0.021,0.024,0.003,0.06,0.15,0.005,0.06,0,0,0,0,0,0,0,0,0,490,763.15
7,15,0.16,0.28,0.68,0.012,0.03,0.028,0.05,0.08,0,0.05,0,0,0,0,0,0,0,0,0,470,743.15
8,20,0.19,0.2,0.35,0.014,0.012,0,0.08,0.1,0,0.04,0,0,0,0,0,0,0,0,0,425,698.15
9,30,0.3,0.29,0.39,0.012,0.026,0.003,0.12,0.215,0.006,0,0,0,0,0,0,0,0,0,0,420,693.15
11,35,0.35,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,623.15
12,35,0.36,0.27,0.64,0.03,0.022,0.005,0,0.12,0.012,0,0,0,0,0,0,0,0.022,0,0,360,633.15
14,35,0.37,0.16,0.6,0.027,0.02,0.005,0,0.12,0.01,0,0,0,0,0,0,0,0.006,0,0,370,643.15
16,40,0.41,0.27,0.66,0.024,0.012,0,0.07,0.1,0,0.04,0,0,0,0,0,0,0,0,0,325,598.15
17,40,0.43,0.24,0.68,0,0,0,0.13,0,0,0.25,0,0,0,0,0,0,0,0,0,340,613.15
19,45,0.44,0.22,0.66,0,0,0,0.15,0,0,0,0,0.02,0,0,0,0,0,0,0,350,623.15
21,45,0.46,0.29,0.39,0.012,0.026,0.003,0.12,0.215,0.006,0,0,0,0,0,0,0,0,0,0,355,628.15
23,45,0.47,0.36,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,596.15
24,50,0.46,0.19,0.8,0,0,0,0.13,0,0,0.17,0,0,0,0,0,0,0,0,0,350,623.15
25,50,0.5,0.53,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
26,50,0.53,0.23,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,563.15
