图号,钢号,C,Si,Mn,Cr,Ni,Mo,W,V,S,P,Cu,Al,Ti,B,Co,Nb,N,Ms/°C,Ms (K)
 IV-1-1,8,0.06,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,753.15
 IV-1-2,30,0.3,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,613.15
 IV-1-3,35,0.35,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,623.15
 IV-1-4,35,0.36,0.27,0.66,0.21,0.2,0.02,0,0,0,0,0.22,0,0,0,0,0,0,360,633.15
 IV-1-5,35,0.36,0.27,0.66,0.21,0.2,0.02,0,0,0,0,0.22,0,0,0,0,0,0,360,633.15
 IV-1-6,45,0.44,0.22,0.66,0.15,0,0,0,0.02,0,0,0,0,0,0,0,0,0,350,623.15
 IV-1-7,45,0.44,0.22,0.66,0.15,0,0,0,0.02,0,0,0,0,0,0,0,0,0,350,623.15
 IV-1-8,45,0.45,0.27,0.52,0.05,0.12,0.01,0,0,0,0,0.19,0,0,0,0,0,0,345,618.15
 IV-1-9,50,0.5,0.53,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-10,50,0.53,0.23,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,563.15
 IV-1-11,55,0.54,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,563.15
 IV-1-12,55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-13,60,0.59,0.25,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.7,780.85
 IV-1-14,65,0.64,0.22,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,558.15
 IV-1-15,65,0.64,0.22,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,573.15
 IV-1-16,15Mn,0.17,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,723.15
 IV-1-17,30Mn,0.33,0.3,1.12,0.11,0.24,0.04,0,0,0,0,0.19,0,0,0,0,0,0,355,628.15
 IV-1-18,30Mn,0.33,0.3,1.12,0.11,0.24,0.04,0,0,0,0,0.19,0,0,0,0,0,0,355,628.15
 IV-1-19,30Mn,0.28,0.3,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,648.15
 IV-1-20,50Mn,0.5,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-21,60Mn,0.63,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,533.15
 IV-1-22,65Mn,0.63,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,543.15
 IV-1-23,65Mn,0.64,0.1,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,543.15
 IV-1-24,20Mn2,0.2,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,663.15
 IV-1-25,30Mn2,0.29,0.26,1.67,0.12,0.21,0.04,0,0,0,0,0.11,0,0,0,0,0,0,380,653.15
 IV-1-26,30Mn2,0.33,0.23,1.54,0.15,0.18,0.05,0,0,0,0,0,0,0,0,0,0,0,340,613.15
 IV-1-27,30Mn2,0.35,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,598.15
 IV-1-28,40Mn2,0.4,0.4,2.06,0.11,0.05,0,0,0,0,0,0,0,0,0,0,0,0,300,573.15
 IV-1-29,45Mn2,0.43,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-30,45Mn2,0.48,0.28,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,563.15
 IV-1-31,45Mn2,0.47,0.36,1.37,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,300,573.15
 IV-1-32,45Mn2,0.48,0.28,1.98,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,290,563.15
 IV-1-33,20Cr,0.2,0.3,0.72,0.79,0.27,0.02,0,0,0,0,0.17,0,0,0,0,0,0,390,663.15
 IV-1-34,30Cr,0.32,0.3,0.75,1.08,0.26,0.02,0,0,0,0,0.17,0,0,0,0,0,0,350,623.15
 IV-1-35,30Cr,0.3,0.25,0.5,1.28,0.09,0,0,0.05,0,0,0,0,0,0,0,0,0,360,633.15
 IV-1-36,35Cr,0.35,0.23,0.65,1.11,0.23,0.05,0,0,0,0,0.18,0,0,0,0,0,0,360,633.15
 IV-1-37,35Cr,0.35,0.23,0.65,1.11,0.23,0.05,0,0,0,0,0.18,0,0,0,0,0,0,360,633.15
 IV-1-38,35Cr,0.36,0.25,0.49,1.54,0.21,0.03,0,0,0,0,0.16,0,0,0,0,0,0,340,613.15
 IV-1-39,35Cr,0.36,0.25,0.49,1.54,0.21,0.03,0,0,0,0,0.16,0,0,0,0,0,0,340,613.15
 IV-1-40,40Cr,0.38,0.26,0.74,0.9,0.26,0.04,0,0,0,0,0.17,0,0,0,0,0,0,325,598.15
 IV-1-41,40Cr,0.42,0.16,0.68,0.93,0.07,0,0,0,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-42,45Cr,0.44,0.22,0.8,1.04,0.26,0.04,0,0,0,0,0.17,0,0,0,0,0,0,355,628.15
