图号,钢号,C,Si,Mn,S,P,Nb,V,Ti,Al,N,Ni,W,Cu,Cr,B,Co,Mo,O,Sn,Re,Ms/°C,Ms (K)
1,06MnVTi,0.05,0.25,1.64,0.016,0.017,0,0.09,0.02,0.075,0,0,0,0,0,0,0,0,0,0,0,350,623.15
2,06TiA,0.06,0.05,0.3,0.02,0.007,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,430,703.15
3,06NbTi,0.07,0.25,0.46,0.008,0.007,0.011,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,450,723.15
4,08Ti,0.07,0.02,0.28,0.009,0.02,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,480,753.15
5,08CuPVRe,0.1,0.32,0.6,0.007,0.105,0,0.06,0,0,0,0,0,0.28,0,0,0,0,0,0,0.009,400,673.15
6,08MnTiNb,0.08,0.29,0.96,0.008,0.013,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,475,748.15
7,08Si2,0.052,2.08,0.23,0.0157,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,753.15
8,08Mn2Si,0.08,0.99,2.2,0.009,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,719.15
9,09Mn2Si,0.09,0.74,1.62,0.0082,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,718.15
10,09Mn2Si,0.097,0.72,1.825,0.0186,0.0151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,718.15
11,09MnVTiN,0.07,0.37,1.09,0.009,0.015,0,0.08,0.015,0,0.0095,0,0,0,0,0,0,0,0,0,0,475,748.15
12,09MnTiNb,0.11,0.32,1.4,0.009,0.006,0.022,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,470,743.15
13,1.5Ni,0.08,0.29,1.3,0.005,0.017,0.037,0,0.01,0,0,1.37,0,0,0,0,0,0,0,0,0,470,743.15
16,10Ti,0.1,0.16,0.4,0.011,0.08,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,485,758.15
17,10MnVTi,0.0114,0.28,1.585,0.0073,0.023,0,0.033,0.038,0,0,0,0,0,0,0,0,0,0,0,0,440,713.15
18,10MnCuPTi,0.07,0.33,0.72,0.027,0.92,0,0,0.1,0,0,0,0,0.28,0,0,0,0,0,0,0,475,748.15
19,10CrNiCuP,0.08,0.22,0.44,0.006,0.096,0,0,0,0,0,0.42,0,0.37,0.41,0,0,0,0,0,0,410,683.15
20,10MnMoNbVCu,0.1,0.29,1.51,0.009,0.022,0.061,0.045,0,0,0,0,0,0.19,0,0,0,0.28,0,0,0,415,688.15
21,12MnVTiN,0.12,0.41,1.41,0.018,0.012,0,0.1,0.033,0,0.0074,0,0,0,0,0,0,0,0,0,0,410,683.15
22,12SiMoVNb,0.13,0.82,0.615,0.027,0.019,0.052,0.48,0,0,0,0,0,0,0,0,0,1.03,0,0,0,410,683.15
23,12CrNiMnMoV,0.12,0.28,1.21,0.011,0.016,0,0.07,0,0,0,0.37,0,0,0.26,0,0,0.125,0,0,0,475,748.15
24,12CrNiMnMoVCu,0.12,0.23,0.91,0.005,0.028,0,0.061,0,0,0,0.69,0,0.03,0.49,0,0,0.4,0,0,0,420,693.15
25,12CrNiMnMoV,0.12,0.31,0.94,0.004,0.018,0,0.07,0,0,0,1.34,0,0.34,0.69,0,0,0.51,0,0,0,435,708.15
26,14MnMoV,0.15,0.38,1.41,0.023,0.016,0,0.08,0,0,0,0,0,0,0,0,0,0.45,0,0,0,415,688.15
27,14MnMoVN,0.16,0.35,1.49,0.018,0.015,0,0.16,0,0,0.017,0,0,0,0,0,0,0.45,0,0,0,415,688.15
28,15Mo,0.18,0.3,0.72,0.012,0.014,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,465,738.15
29,15Ti,0.16,0.48,0.61,0.026,0.013,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,370,643.15
30,15MnMoVN,0.15,0.39,1.49,0.015,0.018,0,0.16,0,0,0.014,0,0,0,0,0,0,0.5,0,0,0,405,678.15
31,15MnNbVCu,0.16,0.28,1.16,0.004,0.01,0.031,0.04,0,0,0,0,0,0.24,0,0,0,0,0,0,0,403,676.15
32,15MnCrVCu,0.16,0.22,1.05,0.04,0.028,0,0.054,0,0,0,0,0,0.3,0.56,0,0,0,0,0,0,435,708.15
33,15CrNiMnMoV,0.14,0.32,1.27,0.023,0.006,0,0.039,0,0,0,0.435,0,0,0.28,0,0,0.22,0,0,0,460,733.15
34,15CrNiMnMoVCuB,0.15,0.31,0.98,0.005,0.018,0,0.08,0,0,0,1.05,0,0.62,0.35,0.0018,0,0.51,0,0,0,410,683.15
