,index,C,Mn,Si,Cr,Ni,Mo,V,Co,Al,W,Cu,Nb,Ti,B,N,P,S,Ms (K),Payson_Savage,Andrews_2,Capdevila,pre_1,index_clean,pre_3,predicted_3
0,0,0.37,0.84,0.36,0.0,1.4,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.022,601.0,594.306,596.9001,599.2020000000001,601.2416822420649,0,601.2416822420649,602.8182181458957
1,1,0.41,0.76,0.35,0.0,4.45,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,538.584,538.3182999999999,537.957,511.66217589940095,0,511.66217589940095,512.1103524113995
2,2,1.19,0.31,0.29,4.54,0.0,5.1,3.29,12.27,0.0,7.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,110.90100000000001,181.43158999999997,526.1336000000001,473.6820020275323,0,473.6820020275323,530.3327564886843
3,3,0.85,0.04,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,501.4675,554.4514999999999,505.69350000000003,478.58897508907415,0,478.58897508907415,483.8027576345408
4,4,0.15,1.3,0.27,0.15,0.15,0.04,0.13,0.0,0.02,0.0,0.19,0.0,0.0,0.0,0.01,0.01,0.009,651.0,671.139,705.9540000000001,669.239,650.7510008583988,0,650.7510008583988,655.2948724226717
5,6,0.4,0.8,0.33,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.021,603.0,606.2979999999999,608.285,615.791,601.7431159940274,0,601.7431159940274,602.7667067468739
6,7,0.091,1.0,0.16,9.3,0.0,0.98,0.19,2.8,0.0,0.0,0.0,0.041,0.0,0.0,0.052,0.0,0.0,587.0,438.73629999999997,812.1975970000001,647.3494,585.7319916982829,0,585.7319916982829,589.9550812408713
7,8,0.69,1.41,0.7,0.05,0.03,0.0,0.19,0.0,0.005,0.0,0.03,0.0,0.0,0.0,0.007,0.03,0.009,486.0,496.9130000000001,504.24215000000004,500.82800000000015,486.7339073545738,0,486.7339073545738,490.84751286908147
8,9,0.07,1.5,0.37,0.039,0.49,0.021,0.004,0.0,0.045,0.0,0.039,0.027,0.011,0.0,0.0,0.0,0.0,717.0,686.3236999999999,738.9157520000001,682.8816,690.2459598648298,0,690.2459598648298,683.6073507720656
9,10,0.5,0.32,0.27,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.9277778,572.803,583.036,590.4710000000001,590.257398775758,0,590.257398775758,580.1410406010189
11,12,0.4,1.39,1.37,0.76,1.34,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.021,519.0,534.5979999999997,562.1795999999999,553.0010000000001,517.2744601687084,0,517.2744601687084,518.0051190741198
12,14,0.44,0.75,0.26,1.7,0.17,0.08,0.09,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.016,0.019,574.0,553.8539999999999,575.5483999999999,584.542,572.6340903782327,0,572.6340903782327,573.4220936028398
13,15,0.23,0.68,0.47,0.96,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.009,698.0,640.3309999999999,677.02562,659.3710000000001,697.8073465745941,0,697.8073465745941,698.9394109730011
14,16,0.78,1.95,1.49,0.97,0.0,0.24,0.0,1.6,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,413.9199999999999,416.20514000000003,452.56800000000004,473.4886504005592,0,473.4886504005592,475.0168726758768
15,17,0.6,0.49,0.35,14.52,0.17,0.57,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,149.00599999999997,191.02980000000014,431.889,444.4240320833314,0,444.4240320833314,496.6068087823648
16,19,0.41,0.84,0.34,0.35,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.018,607.0,592.18,599.5074999999999,608.2330000000001,608.1718376107963,0,608.1718376107963,608.0315459281012
17,20,0.38,1.63,0.3,0.02,0.01,0.12,0.07,0.0,0.021,0.0,0.01,0.0,0.0,0.0,0.0,0.018,0.016,638.0,592.0399999999998,598.5349399999999,594.8149999999998,636.3778128276982,0,636.3778128276982,635.889171513891
